home,score,away,year
Brasil ,1:1 (1:0), Uruguay,1983
,,,1983
Argentina ,1:1 (0:0), Perú,1987
,,,1987
Argentina ,3:0 (0:0), Ecuador,1987
,,,1987
Perú ,1:1 (1:1), Ecuador,1987
,,,1987
Brasil ,5:0 (2:0), Venezuela,1987
,,,1987
Chile ,3:1 (1:1), Venezuela,1987
,,,1987
Brasil ,0:4 (0:1), Chile,1987
,,,1987
Paraguay ,0:0, Bolivia,1987
,,,1987
Colombia ,2:0 (1:0), Bolivia,1987
,,,1987
Colombia ,3:0 (2:0), Paraguay,1987
,,,1987
Chile ,"2:1 (0:0, 0:0) (t. s.)", Colombia,1987
,,,1987
Argentina ,0:1 (0:1), Uruguay,1987
,,,1987
Argentina ,1:2 (0:2), Colombia,1987
,,,1987
Uruguay ,1:0 (0:0), Chile,1987
,,,1987
Paraguay ,5:2 (2:1), Perú,1989
,,,1989
Brasil ,3:1 (2:0), Venezuela,1989
,,,1989
Colombia ,4:2 (1:0), Venezuela,1989
,,,1989
Brasil ,0:0, Perú,1989
,,,1989
Perú ,1:1 (1:1), Venezuela,1989
,,,1989
Paraguay ,1:0 (0:0), Colombia,1989
,,,1989
Paraguay ,3:0 (1:0), Venezuela,1989
,,,1989
Brasil ,0:0, Colombia,1989
,,,1989
Colombia ,1:1 (1:1), Perú,1989
,,,1989
Brasil ,2:0 (0:0), Paraguay,1989
,,,1989
Ecuador ,1:0 (0:0), Uruguay,1989
,,,1989
Argentina ,1:0 (0:0), Chile,1989
,,,1989
Uruguay ,3:0 (2:0), Bolivia,1989
,,,1989
Argentina ,0:0, Ecuador,1989
,,,1989
Ecuador ,0:0, Bolivia,1989
,,,1989
Uruguay ,3:0 (1:0), Chile,1989
,,,1989
Chile ,5:0 (2:0), Bolivia,1989
,,,1989
Argentina ,1:0 (0:0), Uruguay,1989
,,,1989
Chile ,2:1 (1:0), Ecuador,1989
,,,1989
Argentina ,0:0, Bolivia,1989
,,,1989
Uruguay ,3:0 (1:0), Paraguay,1989
,,,1989
Brasil ,2:0 (0:0), Argentina,1989
,,,1989
Uruguay ,2:0 (1:0), Argentina,1989
,,,1989
Brasil ,3:0 (1:0), Paraguay,1989
,,,1989
Argentina ,0:0, Paraguay,1989
,,,1989
Brasil ,1:0 (0:0), Uruguay,1989
,,,1989
Chile ,2:0 (2:0), Venezuela,1991
,,,1991
Paraguay ,1:0 (1:0), Perú,1991
,,,1991
Chile ,4:2 (1:0), Perú,1991
,,,1991
Argentina ,3:0 (2:0), Venezuela,1991
,,,1991
Paraguay ,5:0 (2:0), Venezuela,1991
,,,1991
Chile ,0:1 (0:0), Argentina,1991
,,,1991
Perú ,5:1 (2:1), Venezuela,1991
,,,1991
Argentina ,4:1 (1:0), Paraguay,1991
,,,1991
Argentina ,3:2 (1:1), Perú,1991
,,,1991
Chile ,4:0 (2:0), Paraguay,1991
,,,1991
Colombia ,1:0 (1:0), Ecuador,1991
,,,1991
Uruguay ,1:1 (0:1), Bolivia,1991
,,,1991
Uruguay ,1:1 (0:1), Ecuador,1991
,,,1991
Brasil ,2:1 (1:0), Bolivia,1991
,,,1991
Colombia ,0:0, Bolivia,1991
,,,1991
Brasil ,1:1 (1:0), Uruguay,1991
,,,1991
Ecuador ,4:0 (2:0), Bolivia,1991
,,,1991
Colombia ,2:0 (1:0), Brasil,1991
,,,1991
Uruguay ,1:0 (1:0), Colombia,1991
,,,1991
Brasil ,3:1 (1:1), Ecuador,1991
,,,1991
Argentina ,3:2 (2:1), Brasil,1991
,,,1991
Chile ,1:1 (0:1), Colombia,1991
,,,1991
Chile ,0:0 (0:0), Argentina,1991
,,,1991
Brasil ,2:0 (1:0), Colombia,1991
,,,1991
Chile ,0:2 (0:1), Brasil,1991
,,,1991
Argentina ,2:1 (2:0), Colombia,1991
,,,1991
Ecuador ,6:1 (2:0), Venezuela,1993
,,,1993
Uruguay ,1:0 (0:0), Estados Unidos,1993
,,,1993
Uruguay ,2:2 (1:1), Venezuela,1993
,,,1993
Ecuador ,2:0 (2:0), Estados Unidos,1993
,,,1993
Venezuela ,3:3 (0:2), Estados Unidos,1993
,,,1993
Ecuador ,2:1 (1:0), Uruguay,1993
,,,1993
Paraguay ,1:0 (1:0), Chile,1993
,,,1993
Perú ,0:0, Brasil,1993
,,,1993
Paraguay ,1:1 (1:0), Perú,1993
,,,1993
Chile ,3:2 (1:1), Brasil,1993
,,,1993
Perú ,1:0 (1:0), Chile,1993
,,,1993
Brasil ,3:0 (1:0), Paraguay,1993
,,,1993
Colombia ,2:1 (1:0), México,1993
,,,1993
Argentina ,1:0 (0:0), Bolivia,1993
,,,1993
México ,1:1 (1:1), Argentina,1993
,,,1993
Colombia ,1:1 (1:1), Bolivia,1993
,,,1993
México ,0:0, Bolivia,1993
,,,1993
Argentina ,1:1 (1:1), Colombia,1993
,,,1993
Ecuador ,3:0 (2:0), Paraguay,1993
,,,1993
Colombia ,"1:1 (0:0)
(5:3 p.)", Uruguay,1993
,,,1993
,,,1993
Argentina ,"1:1 (0:1)
(6:5 p.)", Brasil,1993
,,,1993
,,,1993
México ,4:2 (3:0), Perú,1993
,,,1993
Ecuador ,0:2 (0:1), México,1993
,,,1993
Argentina ,"0:0
(6:5 p.)", Colombia,1993
,,,1993
,,,1993
Ecuador ,0:1 (0:0), Colombia,1993
,,,1993
Argentina ,2:1 (0:0), México,1993
,,,1993
Uruguay ,4:1 (2:0), Venezuela,1995
,,,1995
Paraguay ,2:1 (0:1), México,1995
,,,1995
Uruguay ,1:0 (1:0), Paraguay,1995
,,,1995
México ,3:1 (1:0), Venezuela,1995
,,,1995
Paraguay ,3:2 (1:1), Venezuela,1995
,,,1995
Uruguay ,1:1 (0:0), México,1995
,,,1995
Colombia ,1:1 (0:0), Perú,1995
,,,1995
Brasil ,1:0 (0:0), Ecuador,1995
,,,1995
Colombia ,1:0 (1:0), Ecuador,1995
,,,1995
Brasil ,2:0 (0:0), Perú,1995
,,,1995
Ecuador ,2:1 (0:0), Perú,1995
,,,1995
Brasil ,3:0 (1:0), Colombia,1995
,,,1995
Estados Unidos ,2:1 (2:0), Chile,1995
,,,1995
Argentina ,2:1 (0:0), Bolivia,1995
,,,1995
Bolivia ,1:0 (1:0), Estados Unidos,1995
,,,1995
Argentina ,4:0 (2:0), Chile,1995
,,,1995
Bolivia ,2:2 (0:0), Chile,1995
,,,1995
Estados Unidos ,3:0 (2:0), Argentina,1995
,,,1995
Colombia ,"1:1 (0:1)
(5:4 p.)", Paraguay,1995
,,,1995
,,,1995
Uruguay ,2:1 (2:0), Bolivia,1995
,,,1995
Estados Unidos ,"0:0
(4:1 p.)", México,1995
,,,1995
,,,1995
Brasil ,"2:2 (1:2)
(4:2 p.)", Argentina,1995
,,,1995
,,,1995
Uruguay ,2:0 (0:0), Colombia,1995
,,,1995
Brasil ,1:0 (1:0), Estados Unidos,1995
,,,1995
Colombia ,4:1 (2:0), Estados Unidos,1995
,,,1995
Uruguay ,"1:1 (0:1)
(5:3 p.)", Brasil,1995
,,,1995
,,,1995
Paraguay ,1:0 (1:0), Chile,1997
,,,1997
Ecuador ,0:0, Argentina,1997
,,,1997
Paraguay ,0:2 (0:0), Ecuador,1997
,,,1997
Argentina ,2:0 (0:0), Chile,1997
,,,1997
Ecuador ,2:1 (1:0), Chile,1997
,,,1997
Paraguay ,1:1 (0:0), Argentina,1997
,,,1997
Perú ,1:0 (0:0), Uruguay,1997
,,,1997
Bolivia ,1:0 (0:0), Venezuela,1997
,,,1997
Uruguay ,2:0 (1:0), Venezuela,1997
,,,1997
Bolivia ,2:0 (1:0), Perú,1997
,,,1997
Perú ,2:0 (1:0), Venezuela,1997
,,,1997
Bolivia ,1:0 (1:0), Uruguay,1997
,,,1997
Colombia ,1:2 (0:2), México,1997
,,,1997
Brasil ,5:0 (2:0), Costa Rica,1997
,,,1997
Colombia ,4:1 (2:0), Costa Rica,1997
,,,1997
Brasil ,3:2 (0:2), México,1997
,,,1997
México ,1:1 (1:0), Costa Rica,1997
,,,1997
Brasil ,2:0 (1:0), Colombia,1997
,,,1997
Argentina ,1:2 (0:1), Perú,1997
,,,1997
Bolivia ,2:1 (2:0), Colombia,1997
,,,1997
México ,"1:1 (1:1)
(4:3 p.)", Ecuador,1997
,,,1997
,,,1997
Brasil ,2:0 (2:0), Paraguay,1997
,,,1997
Bolivia ,3:1 (2:1), México,1997
,,,1997
Perú ,0:7 (0:4), Brasil,1997
,,,1997
Perú ,0:1 (0:0), México,1997
,,,1997
Bolivia ,1:3 (1:1), Brasil,1997
,,,1997
Perú ,3:2 (0:1), Japón,1999
,,,1999
Paraguay ,0:0, Bolivia,1999
,,,1999
Perú ,1:0 (0:0), Bolivia,1999
,,,1999
Paraguay ,4:0 (2:0), Japón,1999
,,,1999
Japón ,1:1 (0:0), Bolivia,1999
,,,1999
Paraguay ,1:0 (0:0), Perú,1999
,,,1999
Chile ,0:1 (0:0), México,1999
,,,1999
Brasil ,7:0 (2:0), Venezuela,1999
,,,1999
Brasil ,2:1 (2:0), México,1999
,,,1999
Chile ,3:0 (2:0), Venezuela,1999
,,,1999
México ,3:1 (3:0), Venezuela,1999
,,,1999
Brasil ,1:0 (1:0), Chile,1999
,,,1999
Uruguay ,0:1 (0:1), Colombia,1999
,,,1999
Argentina ,3:1 (1:0), Ecuador,1999
,,,1999
Uruguay ,2:1 (0:0), Ecuador,1999
,,,1999
Argentina ,0:3 (0:1), Colombia,1999
,,,1999
Colombia ,2:1 (2:0), Ecuador,1999
,,,1999
Argentina ,2:0 (1:0), Uruguay,1999
,,,1999
Perú ,"3:3 (3:2)
(2:4 p.)", México,1999
,,,1999
,,,1999
Paraguay ,"1:1 (1:0)
(3:5 p.)", Uruguay,1999
,,,1999
,,,1999
Colombia ,2:3 (2:1), Chile,1999
,,,1999
Brasil ,2:1 (1:1), Argentina,1999
,,,1999
Uruguay ,"1:1 (1:0)
(5:3 p.)", Chile,1999
,,,1999
,,,1999
México ,0:2 (0:2), Brasil,1999
,,,1999
Chile ,1:2 (0:1), México,1999
,,,1999
Uruguay ,0:3 (0:2), Brasil,1999
,,,1999
Ecuador ,1:4 (0:1), Chile,2001
,,,2001
Colombia ,2:0 (1:0), Venezuela,2001
,,,2001
Chile ,1:0 (0:0), Venezuela,2001
,,,2001
Colombia ,1:0 (1:0), Ecuador,2001
,,,2001
Ecuador ,4:0 (2:0), Venezuela,2001
,,,2001
Colombia ,2:0 (1:0), Chile,2001
,,,2001
Perú ,3:3 (1:1), Paraguay,2001
,,,2001
Brasil ,0:1 (0:1), México,2001
,,,2001
Brasil ,2:0 (1:0), Perú,2001
,,,2001
Paraguay ,0:0, México,2001
,,,2001
Perú ,1:0 (0:0), México,2001
,,,2001
Brasil ,3:1 (0:1), Paraguay,2001
,,,2001
Bolivia ,0:1 (0:0), Uruguay,2001
,,,2001
Honduras ,0:1 (0:0), Costa Rica,2001
,,,2001
Uruguay ,1:1 (0:1), Costa Rica,2001
,,,2001
Honduras ,2:0 (0:0), Bolivia,2001
,,,2001
Bolivia ,0:4 (0:1), Costa Rica,2001
,,,2001
Honduras ,1:0 (0:0), Uruguay,2001
,,,2001
Chile ,0:2 (0:1), México,2001
,,,2001
Costa Rica ,1:2 (0:0), Uruguay,2001
,,,2001
Colombia ,3:0 (0:0), Perú,2001
,,,2001
Honduras ,2:0 (0:0), Brasil,2001
,,,2001
México ,2:1 (1:1), Uruguay,2001
,,,2001
Colombia ,2:0 (1:0), Honduras,2001
,,,2001
Honduras ,"2:2 (2:2)
(5:4 p.)", Uruguay,2001
,,,2001
,,,2001
Colombia ,1:0 (0:0), México,2001
,,,2001
Colombia ,1:0 (1:0), Venezuela,2004
,,,2004
Perú ,2:2 (0:1), Bolivia,2004
,,,2004
Colombia ,1:0 (0:0), Bolivia,2004
,,,2004
Perú ,3:1 (1:0), Venezuela,2004
,,,2004
Venezuela ,1:1 (1:1), Bolivia,2004
,,,2004
Perú ,2:2 (0:1), Colombia,2004
,,,2004
Uruguay ,2:2 (1:1), México,2004
,,,2004
Argentina ,6:1 (1:0), Ecuador,2004
,,,2004
Uruguay ,2:1 (0:0), Ecuador,2004
,,,2004
México ,1:0 (1:0), Argentina,2004
,,,2004
México ,2:1 (2:0), Ecuador,2004
,,,2004
Argentina ,4:2 (2:2), Uruguay,2004
,,,2004
Paraguay ,1:0 (0:0), Costa Rica,2004
,,,2004
Brasil ,1:0 (0:0), Chile,2004
,,,2004
Brasil ,4:1 (1:0), Costa Rica,2004
,,,2004
Paraguay ,1:1 (0:0), Chile,2004
,,,2004
Chile ,1:2 (1:0), Costa Rica,2004
,,,2004
Brasil ,1:2 (1:1), Paraguay,2004
,,,2004
Perú ,0:1 (0:0), Argentina,2004
,,,2004
Colombia ,2:0 (2:0), Costa Rica,2004
,,,2004
Paraguay ,1:3 (1:1), Uruguay,2004
,,,2004
México ,0:4 (0:1), Brasil,2004
,,,2004
Argentina ,3:0 (1:0), Colombia,2004
,,,2004
Brasil ,"1:1 (0:1)
(5:3 p.)", Uruguay,2004
,,,2004
,,,2004
Colombia ,1:2 (0:1), Uruguay,2004
,,,2004
Argentina ,"2:2 (1:1)
(2:4 p.)", Brasil,2004
,,,2004
,,,2004
Uruguay ,0:3 (0:1), Perú,2007
,,,2007
Venezuela ,2:2 (1:1), Bolivia,2007
,,,2007
Bolivia ,0:1 (0:0), Uruguay,2007
,,,2007
Venezuela ,2:0 (0:0), Perú,2007
,,,2007
Perú ,2:2 (1:2), Bolivia,2007
,,,2007
Venezuela ,0:0, Uruguay,2007
,,,2007
Ecuador ,2:3 (2:1), Chile,2007
,,,2007
Brasil ,0:2 (0:2), México,2007
,,,2007
Brasil ,3:0 (1:0), Chile,2007
,,,2007
México ,2:1 (1:0), Ecuador,2007
,,,2007
México ,0:0, Chile,2007
,,,2007
Brasil ,1:0 (0:0), Ecuador,2007
,,,2007
Paraguay ,5:0 (1:0), Colombia,2007
,,,2007
Argentina ,4:1 (1:1), Estados Unidos,2007
,,,2007
Estados Unidos ,1:3 (1:1), Paraguay,2007
,,,2007
Argentina ,4:2 (3:1), Colombia,2007
,,,2007
Colombia ,1:0 (1:0), Estados Unidos,2007
,,,2007
Argentina ,1:0 (0:0), Paraguay,2007
,,,2007
Venezuela ,1:4 (1:1), Uruguay,2007
,,,2007
Chile ,1:6 (0:2), Brasil,2007
,,,2007
México ,6:0 (3:0), Paraguay,2007
,,,2007
Argentina ,4:0 (0:0), Perú,2007
,,,2007
Uruguay ,"2:2 (1:2)
(4:5 p.)", Brasil,2007
,,,2007
,,,2007
México ,0:3 (0:1), Argentina,2007
,,,2007
Uruguay ,1:3 (1:1), México,2007
,,,2007
Brasil ,3:0 (1:0), Argentina,2007
,,,2007
Argentina,1:1 (0:0),Bolivia,2011
,,,2011
Colombia,1:0 (1:0),Costa Rica,2011
,,,2011
Argentina,0:0,Colombia,2011
,,,2011
Bolivia,0:2 (0:0),Costa Rica,2011
,,,2011
Colombia,2:0 (2:0),Bolivia,2011
,,,2011
Argentina,3:0 (1:0),Costa Rica,2011
,,,2011
Brasil ,0:0, Venezuela,2011
,,,2011
Paraguay ,0:0, Ecuador,2011
,,,2011
Brasil ,2:2 (1:0), Paraguay,2011
,,,2011
Venezuela ,1:0 (0:0), Ecuador,2011
,,,2011
Paraguay ,3:3 (1:1), Venezuela,2011
,,,2011
Brasil ,4:2 (1:1), Ecuador,2011
,,,2011
Uruguay ,1:1 (1:1), Perú,2011
,,,2011
Chile ,2:1 (0:1), México,2011
,,,2011
Uruguay ,1:1 (0:0), Chile,2011
,,,2011
México ,0:1 (0:0), Perú,2011
,,,2011
Chile ,1:0 (0:0), Perú,2011
,,,2011
Uruguay ,1:0 (1:0), México,2011
,,,2011
Colombia ,"0:2 (0:0, 0:0) (t. s.)", Perú,2011
,,,2011
Argentina ,"1:1 (1:1, 1:1) (t. s.)
(4:5 p.)", Uruguay,2011
,,,2011
,,,2011
Brasil ,"0:0 (t. s.)
(0:2 p.)", Paraguay,2011
,,,2011
,,,2011
Chile ,1:2 (0:1), Venezuela,2011
,,,2011
Perú ,0:2 (0:0), Uruguay,2011
,,,2011
Paraguay ,"0:0 (t. s.)
(5:3 p.)", Venezuela,2011
,,,2011
,,,2011
Perú ,4:1 (1:0), Venezuela,2011
,,,2011
Uruguay ,3:0 (2:0), Paraguay,2011
,,,2011
Chile ,2:0 (0:0), Ecuador,2015
,,,2015
México ,0:0, Bolivia,2015
,,,2015
Ecuador ,2:3 (0:3), Bolivia,2015
,,,2015
Chile ,3:3 (2:2), México,2015
,,,2015
México ,1:2 (0:1), Ecuador,2015
,,,2015
Chile ,5:0 (2:0), Bolivia,2015
,,,2015
Uruguay ,1:0 (0:0), Jamaica,2015
,,,2015
Argentina ,2:2 (2:0), Paraguay,2015
,,,2015
Paraguay ,1:0 (1:0), Jamaica,2015
,,,2015
Argentina ,1:0 (0:0), Uruguay,2015
,,,2015
Uruguay ,1:1 (1:1), Paraguay,2015
,,,2015
Argentina ,1:0 (1:0), Jamaica,2015
,,,2015
Colombia ,0:1 (0:0), Venezuela,2015
,,,2015
Brasil ,2:1 (1:1), Perú,2015
,,,2015
Brasil ,0:1 (0:1), Colombia,2015
,,,2015
Perú ,1:0 (0:0), Venezuela,2015
,,,2015
Colombia ,0:0, Perú,2015
,,,2015
Brasil ,2:1 (1:0), Venezuela,2015
,,,2015
Chile ,1:0 (0:0), Uruguay,2015
,,,2015
Bolivia ,1:3 (0:2), Perú,2015
,,,2015
Argentina ,"0:0
(5:4 p.)", Colombia,2015
,,,2015
,,,2015
Brasil ,"1:1 (1:0)
(3:4 p.)", Paraguay,2015
,,,2015
,,,2015
Chile,2:1 (1:0),Perú,2015
,,,2015
Argentina,6:1 (2:1),Paraguay,2015
,,,2015
Perú ,2:0 (0:0), Paraguay,2015
,,,2015
Chile ,"0:0 (t. s.)
(4:1 p.)", Argentina,2015
,,,2015
,,,2015
Trinidad y Tobago ,0:1 (0:0), Haití,2016
,,,2016
Panamá ,4:0 (2:0), Cuba,2016
,,,2016
Estados Unidos ,0:2 (0:2), Colombia,2016
,,,2016
Costa Rica ,0:0, Paraguay,2016
,,,2016
Estados Unidos ,4:0 (3:0), Costa Rica,2016
,,,2016
Colombia ,2:1 (2:0), Paraguay,2016
,,,2016
Estados Unidos ,1:0 (1:0), Paraguay,2016
,,,2016
Colombia ,2:3 (1:2), Costa Rica,2016
,,,2016
Haití ,0:1 (0:0), Perú,2016
,,,2016
Brasil ,0:0, Ecuador,2016
,,,2016
Brasil ,7:1 (3:0), Haití,2016
,,,2016
Ecuador ,2:2 (1:2), Perú,2016
,,,2016
Ecuador ,4:0 (2:0), Haití,2016
,,,2016
Brasil ,0:1 (0:0), Perú,2016
,,,2016
Jamaica ,0:1 (0:1), Venezuela,2016
,,,2016
México ,3:1 (1:0), Uruguay,2016
,,,2016
Uruguay ,0:1 (0:1), Venezuela,2016
,,,2016
México ,2:0 (1:0), Jamaica,2016
,,,2016
México ,1:1 (0:1), Venezuela,2016
,,,2016
Uruguay ,3:0 (1:0), Jamaica,2016
,,,2016
Panamá ,2:1 (1:0), Bolivia,2016
,,,2016
Argentina ,2:1 (0:0), Chile,2016
,,,2016
Chile ,2:1 (0:0), Bolivia,2016
,,,2016
Argentina ,5:0 (1:0), Panamá,2016
,,,2016
Chile ,4:2 (2:1), Panamá,2016
,,,2016
Argentina ,3:0 (3:0), Bolivia,2016
,,,2016
Estados Unidos ,2:1 (1:0), Ecuador,2016
,,,2016
Perú ,"0:0
(2:4 p.)", Colombia,2016
,,,2016
,,,2016
Argentina ,4:1 (2:0), Venezuela,2016
,,,2016
México ,0:7 (0:2), Chile,2016
,,,2016
Estados Unidos ,0:4 (0:2), Argentina,2016
,,,2016
Colombia ,0:2 (0:2), Chile,2016
,,,2016
Estados Unidos ,0:1 (0:1), Colombia,2016
,,,2016
Argentina ,"0:0 (t. s.)
(2:4 p.)", Chile,2016
,,,2016
,,,2016
Brasil,3:0 (0:0),Bolivia,2019
,,,2019
Venezuela,0:0,Perú,2019
,,,2019
Bolivia,1:3 (1:1),Perú,2019
,,,2019
Brasil,0:0,Venezuela,2019
,,,2019
Perú,0:5 (0:3),Brasil,2019
,,,2019
Bolivia,1:3 (0:1),Venezuela,2019
,,,2019
Argentina,0:2 (0:0),Colombia,2019
,,,2019
Paraguay,2:2 (1:0),Catar,2019
,,,2019
Colombia,1:0 (0:0),Catar,2019
,,,2019
Argentina,1:1 (0:1),Paraguay,2019
,,,2019
Catar,0:2 (0:1),Argentina,2019
,,,2019
Colombia,1:0 (1:0),Paraguay,2019
,,,2019
Uruguay,4:0 (3:0),Ecuador,2019
,,,2019
Japón,0:4 (0:1),Chile,2019
,,,2019
Uruguay,2:2 (1:1),Japón,2019
,,,2019
Ecuador,1:2 (1:1),Chile,2019
,,,2019
Chile,0:1 (0:0),Uruguay,2019
,,,2019
Ecuador,1:1 (1:1),Japón,2019
,,,2019
Brasil,"0:0
(4:3 p.)",Paraguay,2019
,,,2019
,,,2019
Venezuela,0:2 (0:1),Argentina,2019
,,,2019
Colombia,"0:0
(4:5 p.)",Chile,2019
,,,2019
,,,2019
Uruguay,"0:0
(4:5 p.)",Perú,2019
,,,2019
,,,2019
Brasil,2:0 (1:0),Argentina,2019
,,,2019
Chile,0:3 (0:2),Perú,2019
,,,2019
Argentina,2:1 (2:0),Chile,2019
,,,2019
Brasil,3:1 (2:1),Perú,2019
,,,2019
Argentina,1:1 (1:0),Chile,2021
,,,2021
Paraguay,3:1 (0:1),Bolivia,2021
,,,2021
Chile,1:0 (1:0),Bolivia,2021
,,,2021
Argentina,1:0 (1:0),Uruguay,2021
,,,2021
Uruguay,1:1 (0:1),Chile,2021
,,,2021
Argentina,1:0 (1:0),Paraguay,2021
,,,2021
Bolivia,0:2 (0:1),Uruguay,2021
,,,2021
Chile,0:2 (0:1),Paraguay,2021
,,,2021
Bolivia,1:4 (0:3),Argentina,2021
,,,2021
Uruguay,1:0 (1:0),Paraguay,2021
,,,2021
Brasil,3:0 (1:0),Venezuela,2021
,,,2021
Colombia,1:0 (1:0),Ecuador,2021
,,,2021
Colombia,0:0,Venezuela,2021
,,,2021
Brasil,4:0 (1:0),Perú,2021
,,,2021
Venezuela,2:2 (0:1),Ecuador,2021
,,,2021
Colombia,1:2 (0:1),Perú,2021
,,,2021
Ecuador,2:2 (2:0),Perú,2021
,,,2021
Brasil,2:1 (0:1),Colombia,2021
,,,2021
Brasil,1:1 (1:0),Ecuador,2021
,,,2021
Venezuela,0:1 (0:0),Perú,2021
,,,2021
Perú,"3:3 (2:1)
(4:3 p.)",Paraguay,2021
,,,2021
,,,2021
Brasil,1:0 (0:0),Chile,2021
,,,2021
Uruguay,"0:0
(2:4 p.)",Colombia,2021
,,,2021
,,,2021
Argentina,3:0 (1:0),Ecuador,2021
,,,2021
Brasil,1:0 (1:0),Perú,2021
,,,2021
Argentina,"1:1 (1:0)
(3:2 p.)",Colombia,2021
,,,2021
,,,2021
Colombia,3:2 (0:1),Perú,2021
,,,2021
Argentina,1:0 (1:0),Brasil,2021
,,,2021
